Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Singapore,SGP,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,564.1897
Singapore,SGP,PISA: Mean performance on the science scale,LO.PISA.SCI,555.5747
"Hong Kong SAR, China",HKG,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,547.931
Japan,JPN,PISA: Mean performance on the science scale,LO.PISA.SCI,538.3948
Singapore,SGP,PISA: Mean performance on the reading scale,LO.PISA.REA,535.1002
Estonia,EST,PISA: Mean performance on the science scale,LO.PISA.SCI,534.1937
Japan,JPN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,532.4399
Finland,FIN,PISA: Mean performance on the science scale,LO.PISA.SCI,530.6612
Canada,CAN,PISA: Mean performance on the science scale,LO.PISA.SCI,527.7047
"Hong Kong SAR, China",HKG,PISA: Mean performance on the reading scale,LO.PISA.REA,526.6753
Canada,CAN,PISA: Mean performance on the reading scale,LO.PISA.REA,526.6678
Finland,FIN,PISA: Mean performance on the reading scale,LO.PISA.REA,526.4247
"Korea, Rep.",KOR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,524.1062
"Hong Kong SAR, China",HKG,PISA: Mean performance on the science scale,LO.PISA.SCI,523.2774
Switzerland,CHE,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,521.2506
Ireland,IRL,PISA: Mean performance on the reading scale,LO.PISA.REA,520.8148
Estonia,EST,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,519.5291
Estonia,EST,PISA: Mean performance on the reading scale,LO.PISA.REA,519.1429
"Korea, Rep.",KOR,PISA: Mean performance on the reading scale,LO.PISA.REA,517.4367
Japan,JPN,PISA: Mean performance on the reading scale,LO.PISA.REA,515.9585
"Korea, Rep.",KOR,PISA: Mean performance on the science scale,LO.PISA.SCI,515.8099
Canada,CAN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,515.6474
New Zealand,NZL,PISA: Mean performance on the science scale,LO.PISA.SCI,513.3035
Norway,NOR,PISA: Mean performance on the reading scale,LO.PISA.REA,513.1912
Netherlands,NLD,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,512.2528
Denmark,DNK,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,511.0876
Finland,FIN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,511.0769
Australia,AUS,PISA: Mean performance on the science scale,LO.PISA.SCI,509.9939
New Zealand,NZL,PISA: Mean performance on the reading scale,LO.PISA.REA,509.2707
United Kingdom,GBR,PISA: Mean performance on the science scale,LO.PISA.SCI,509.2215
Germany,DEU,PISA: Mean performance on the science scale,LO.PISA.SCI,509.1406
Germany,DEU,PISA: Mean performance on the reading scale,LO.PISA.REA,509.1041
Netherlands,NLD,PISA: Mean performance on the science scale,LO.PISA.SCI,508.5748
Belgium,BEL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,506.9844
Germany,DEU,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,505.9713
Switzerland,CHE,PISA: Mean performance on the science scale,LO.PISA.SCI,505.5058
Ireland,IRL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,503.722
Netherlands,NLD,PISA: Mean performance on the reading scale,LO.PISA.REA,502.9591
Australia,AUS,PISA: Mean performance on the reading scale,LO.PISA.REA,502.9006
Ireland,IRL,PISA: Mean performance on the science scale,LO.PISA.SCI,502.5751
Belgium,BEL,PISA: Mean performance on the science scale,LO.PISA.SCI,501.9997
Denmark,DNK,PISA: Mean performance on the science scale,LO.PISA.SCI,501.9369
Norway,NOR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,501.7298
Portugal,PRT,PISA: Mean performance on the science scale,LO.PISA.SCI,501.1001
Sweden,SWE,PISA: Mean performance on the reading scale,LO.PISA.REA,500.1556
Denmark,DNK,PISA: Mean performance on the reading scale,LO.PISA.REA,499.8146
France,FRA,PISA: Mean performance on the reading scale,LO.PISA.REA,499.3061
Belgium,BEL,PISA: Mean performance on the reading scale,LO.PISA.REA,498.5242
Norway,NOR,PISA: Mean performance on the science scale,LO.PISA.SCI,498.4811
Portugal,PRT,PISA: Mean performance on the reading scale,LO.PISA.REA,498.1289
United Kingdom,GBR,PISA: Mean performance on the reading scale,LO.PISA.REA,497.9719
United States,USA,PISA: Mean performance on the reading scale,LO.PISA.REA,496.9351
Austria,AUT,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,496.7423
United States,USA,PISA: Mean performance on the science scale,LO.PISA.SCI,496.2424
Spain,ESP,PISA: Mean performance on the reading scale,LO.PISA.REA,495.5764
New Zealand,NZL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,495.2233
Austria,AUT,PISA: Mean performance on the science scale,LO.PISA.SCI,495.0375
France,FRA,PISA: Mean performance on the science scale,LO.PISA.SCI,494.9776
Russian Federation,RUS,PISA: Mean performance on the reading scale,LO.PISA.REA,494.6278
Russian Federation,RUS,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,494.06
Sweden,SWE,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,493.9181
Australia,AUS,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,493.8962
Sweden,SWE,PISA: Mean performance on the science scale,LO.PISA.SCI,493.4224
France,FRA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,492.9204
Spain,ESP,PISA: Mean performance on the science scale,LO.PISA.SCI,492.7861
United Kingdom,GBR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,492.4785
Switzerland,CHE,PISA: Mean performance on the reading scale,LO.PISA.REA,492.1982
Portugal,PRT,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,491.627
Italy,ITA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,489.7287
Iceland,ISL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,488.0332
Russian Federation,RUS,PISA: Mean performance on the science scale,LO.PISA.SCI,486.631
Spain,ESP,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,485.8432
Austria,AUT,PISA: Mean performance on the reading scale,LO.PISA.REA,484.8656
Italy,ITA,PISA: Mean performance on the reading scale,LO.PISA.REA,484.758
Iceland,ISL,PISA: Mean performance on the reading scale,LO.PISA.REA,481.5255
Italy,ITA,PISA: Mean performance on the science scale,LO.PISA.SCI,480.5468
Israel,ISR,PISA: Mean performance on the reading scale,LO.PISA.REA,478.9606
Iceland,ISL,PISA: Mean performance on the science scale,LO.PISA.SCI,473.2301
Israel,ISR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,469.6695
United States,USA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,469.6285
Israel,ISR,PISA: Mean performance on the science scale,LO.PISA.SCI,466.5528
Uruguay,URY,PISA: Mean performance on the reading scale,LO.PISA.REA,436.5721
Uruguay,URY,PISA: Mean performance on the science scale,LO.PISA.SCI,435.363
Mexico,MEX,PISA: Mean performance on the reading scale,LO.PISA.REA,423.2765
Uruguay,URY,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,417.9919
Mexico,MEX,PISA: Mean performance on the science scale,LO.PISA.SCI,415.7099
Mexico,MEX,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,408.0235
Brazil,BRA,PISA: Mean performance on the reading scale,LO.PISA.REA,407.3486
Brazil,BRA,PISA: Mean performance on the science scale,LO.PISA.SCI,400.6821
Brazil,BRA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,377.0695
